country,disaster_risk,disaster_category,governance_risk,logistics_risk,news_risk,final_risk_score,risk_level
Serbia Montenegro,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Seychelles,0.300228386606209,Low Risk,0.301808688,0.5378787879008265,0.0,0.28497896562675884,Low Risk
Sierra Leone,0.26330287562905,Low Risk,0.634404266,0.5378787879008265,0.0,0.3588964823824692,Medium Risk
Singapore,0.0906084201038074,Low Risk,0.0,0.0,0.0,0.02265210502595185,Low Risk
Sint Maarten (Dutch part),0.310573509027082,Low Risk,0.4632475918114286,0.5378787879008265,0.0,0.3279249721848343,Medium Risk
Slovakia,0.30126138628113486,,0.335909628,0.416666667,0.0,0.2634594203202837,Low Risk
Slovenia,0.3571795089660465,Medium Risk,0.213447007,0.416666667,0.0,0.24682329574151163,Low Risk
Solomon Islands,0.2913703725821373,Low Risk,0.496665075,0.625,0.0,0.35325886189553435,Medium Risk
Somalia,0.30126138628113486,,0.991166151,0.5378787879008265,0.0,0.4575765812954904,Medium Risk
South Africa,0.3905047532490863,Medium Risk,0.520137033,0.25,0.0,0.2901604465622716,Low Risk
South Sudan,0.161871760912797,Low Risk,0.997937638,0.5378787879008265,0.0,0.4244220467034059,Medium Risk
Spain,0.3600761329601613,Medium Risk,0.298435179,0.166666667,0.0,0.20629449474004033,Low Risk
Sri Lanka,0.3876244695163042,Medium Risk,0.521381129,0.625,0.0,0.38350139962907603,Medium Risk
State of Palestine,0.30126138628113486,,0.4632475918114286,0.5378787879008265,0.0,0.3255969414983475,Medium Risk
Sudan,0.3529719090262765,Medium Risk,0.954062722,0.791666667,0.0,0.5246753245065691,High Risk
Suriname,0.2529850620590182,Low Risk,0.502096189,0.5378787879008265,0.0,0.32324000973996114,Medium Risk
Sweden,0.3013468293410676,Low Risk,0.125785082,0.125,0.0,0.1380329778352669,Low Risk
Switzerland,0.3173249231840358,Low Risk,0.043275294,0.083333333,0.0,0.11098338754600896,Low Risk
Syrian Arab Republic,0.3908139673503683,Medium Risk,0.991506341,0.833333333,0.0,0.5539134103375921,High Risk
